lat,month,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010
35.74,Aug,16.028,14.506,15.739,14.818,14.635,17.743,13.712,14.2,14.269,16.17,15.466,14.553,13.493,13.534,14.537,15.262,15.022,15.468,16.742,14.669,14.555,15.087,14.398
35.74,Sep,15.589,15.119,15.564,15.299,15.443,17.999,15.014,14.335,14.767,17.053,16.234,14.203,15.895,14.637,13.45,16.124,15.894,14.347,15.496,15.179,16.352,14.741,14.438
35.74,Oct,14.494,14.885,14.676,15.585,15.681,14.828,14.922,14.401,14.316,16.185,14.442,14.696,15.416,13.865,14.17,14.162,15.624,14.632,15.899,15.078,14.99,14.658,15.024
35.74,Nov,13.908,14.618,13.294,13.917,14.817,14.523,13.094,14.464,13.439,15.829,13.068,13.392,13.327,14.109,14.043,14.81,15.327,14.227,15.278,13.707,14.262,13.766,14.042
35.74,Dec,13.063,14.521,13.084,12.857,14.275,13.987,12.991,14.091,13.138,14.923,12.129,12.133,13.26,12.536,14.341,13.384,13.717,13.846,13.642,12.495,13.473,13.214,12.955
34.87,Jan,12.472,11.387,13.681,13.073,13.45,13.679,13.766,13.421,13.006,13.3,15.503,13.154,12.797,13.158,12.469,13.89,12.719,13.921,12.672,12.591,12.256,12.843,13.299
34.87,Feb,12.93,11.418,12.083,13.167,14.035,13.843,13.599,13.613,13.318,12.492,14.781,12.222,12.912,11.984,12.439,13.651,12.167,13.732,12.277,13.044,12.096,12.758,13.495
34.87,Mar,12.787,11.315,11.189,12.494,14.741,13.631,13.791,13.986,14.074,11.965,13.994,11.367,12.071,12.422,12.37,12.132,12.441,14.123,12.189,12.118,11.107,11.853,12.672
34.87,Apr,13.22,12.738,13.077,11.637,14.041,12.094,13.334,12.978,13.458,11.381,12.947,11.669,11.751,11.561,12.231,11.367,11.548,11.578,13.172,11.063,10.513,10.852,12.521
34.87,May,12.055,12.008,12.497,10.542,15.015,13.253,13.041,11.928,13.043,12.931,13.13,11.33,11.035,13.078,11.04,11.244,11.662,12.497,12.079,11.761,11.192,11.555,11.416
34.87,Jun,12.451,12.606,12.328,12.006,15.159,13.648,12.838,12.375,12.189,13.664,14.238,12.474,13.756,13.662,12.35,13.305,11.954,12.063,12.535,12.42,12.566,14.351,11.512
34.87,Jul,14.748,13.257,14.304,14.588,14.379,16.42,14.399,13.913,13.972,15.277,15.584,14.455,14.285,14.518,14.02,13.164,14.391,13.126,14.109,13.381,13.999,14.02,13.511
34.87,Aug,16.098,14.589,16.107,14.867,15.016,15.314,16.999,14.426,13.924,16.98,17.093,13.4,14.451,13.824,13.66,14.433,14.761,14.954,15.986,14.583,14.928,14.077,13.668
34.87,Sep,14.624,14.208,14.99,15.641,15.819,15.009,15.028,14.384,15.646,18.03,16.789,15.035,16.201,15.441,13.514,14.594,16.043,14.289,15.7,15.049,15.441,14.425,13.226
34.87,Oct,14.993,15.16,16.441,15.295,16.224,15.87,15.066,15.668,14.403,17.439,15.138,14.787,15.509,14.762,14.51,14.686,15.493,13.254,15.953,13.549,14.425,14.931,14.711
34.87,Nov,13.157,15.045,14.649,14.002,15.953,15.174,13.576,15.314,13.733,17.989,13.765,13.791,13.585,14.94,14.276,14.253,14.824,14.057,13.923,13.64,15.176,13.959,13.807
